"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0737695248385383,1,14,148.025974025974,"Meiotic spindle organization "," http://amigo.geneontology.org/amigo/term/GO:0000212"," ESPL1"
0.0737695248385383,1,13,159.412587412587,"Mitotic nuclear membrane disassembly "," http://amigo.geneontology.org/amigo/term/GO:0007077"," CDK1"
0.0737695248385383,1,17,121.903743315508,"Response to UV-B "," http://amigo.geneontology.org/amigo/term/GO:0010224"," IVL"
0.0737695248385383,1,17,121.903743315508,"Membrane disassembly "," http://amigo.geneontology.org/amigo/term/GO:0030397"," CDK1"
0.0737695248385383,1,14,148.025974025974,"Positive regulation of mitotic metaphase/anaphase transition "," http://amigo.geneontology.org/amigo/term/GO:0045842"," ESPL1"
0.0737695248385383,1,15,138.157575757576,"Organelle inheritance "," http://amigo.geneontology.org/amigo/term/GO:0048308"," CDK1"
0.0737695248385383,1,15,138.157575757576,"Golgi inheritance "," http://amigo.geneontology.org/amigo/term/GO:0048313"," CDK1"
0.0737695248385383,1,17,121.903743315508,"Nuclear membrane disassembly "," http://amigo.geneontology.org/amigo/term/GO:0051081"," CDK1"
0.0737695248385383,1,16,129.522727272727,"Ventricular cardiac muscle cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0055012"," CDK1"
0.0737695248385383,2,250,16.5789090909091,"Positive regulation of cell cycle process "," http://amigo.geneontology.org/amigo/term/GO:0090068"," ESPL1  CDK1"
0.0737695248385383,1,14,148.025974025974,"Positive regulation of mitotic sister chromatid separation "," http://amigo.geneontology.org/amigo/term/GO:1901970"," ESPL1"
0.0737695248385383,1,15,138.157575757576,"Positive regulation of metaphase/anaphase transition of cell cycle "," http://amigo.geneontology.org/amigo/term/GO:1902101"," ESPL1"
0.0737695248385383,1,17,121.903743315508,"Positive regulation of chromosome separation "," http://amigo.geneontology.org/amigo/term/GO:1905820"," ESPL1"
0.0808171702949032,1,20,103.618181818182,"Protein localization to kinetochore "," http://amigo.geneontology.org/amigo/term/GO:0034501"," CDK1"
0.0808171702949032,2,312,13.2843822843823,"Nuclear chromosome segregation "," http://amigo.geneontology.org/amigo/term/GO:0098813"," ESPL1  CDK1"
0.0808171702949032,1,20,103.618181818182,"Protein localization to condensed chromosome "," http://amigo.geneontology.org/amigo/term/GO:1903083"," CDK1"
0.0857724326340282,1,22,94.198347107438,"Regulation of sister chromatid cohesion "," http://amigo.geneontology.org/amigo/term/GO:0007063"," ESPL1"
0.0857724326340282,2,332,12.4841182913472,"Positive regulation of cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0045787"," ESPL1  CDK1"
0.0907107928363818,1,24,86.3484848484849,"Positive regulation of cardiac muscle cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0060045"," CDK1"
0.0925015852071594,1,25,82.8945454545455,"Meiotic chromosome separation "," http://amigo.geneontology.org/amigo/term/GO:0051307"," ESPL1"
0.0942177006442276,1,26,79.7062937062937,"Protein localization to chromosome, centromeric region "," http://amigo.geneontology.org/amigo/term/GO:0071459"," CDK1"
0.0944177289954737,2,376,11.0232108317215,"Chromosome segregation "," http://amigo.geneontology.org/amigo/term/GO:0007059"," ESPL1  CDK1"
0.0944177289954737,1,28,74.012987012987,"Mitotic G2 DNA damage checkpoint signaling "," http://amigo.geneontology.org/amigo/term/GO:0007095"," CDK1"
0.0944177289954737,1,28,74.012987012987,"Positive regulation of G2/M transition of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0010971"," CDK1"
0.0944177289954737,2,369,11.2323232323232,"Mitotic nuclear division "," http://amigo.geneontology.org/amigo/term/GO:0140014"," ESPL1  CDK1"
0.101823348841961,1,31,66.8504398826979,"Positive regulation of cell cycle G2/M phase transition "," http://amigo.geneontology.org/amigo/term/GO:1902751"," CDK1"
0.103174312957051,1,32,64.7613636363636,"Positive regulation of cardiac muscle tissue growth "," http://amigo.geneontology.org/amigo/term/GO:0055023"," CDK1"
0.113898559168501,1,36,57.5656565656566,"Positive regulation of heart growth "," http://amigo.geneontology.org/amigo/term/GO:0060421"," CDK1"
0.114983493711158,1,37,56.009828009828,"Establishment of mitotic spindle localization "," http://amigo.geneontology.org/amigo/term/GO:0040001"," ESPL1"
0.115253415436156,2,446,9.29311047696698,"Negative regulation of cell cycle process "," http://amigo.geneontology.org/amigo/term/GO:0010948"," ESPL1  CDK1"
0.115253415436156,1,38,54.5358851674641,"Histone phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0016572"," CDK1"
0.115253415436156,1,39,53.1375291375291,"Positive regulation of DNA replication "," http://amigo.geneontology.org/amigo/term/GO:0045740"," CDK1"
0.116078941665607,1,40,51.8090909090909,"Regulation of cardiac muscle cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0060043"," CDK1"
0.117028886250076,1,42,49.3419913419913,"Schwann cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0014037"," CDK1"
0.117028886250076,1,42,49.3419913419913,"Positive regulation of protein import into nucleus "," http://amigo.geneontology.org/amigo/term/GO:0042307"," CDK1"
0.117028886250076,1,43,48.1945031712474,"Mitotic G2/M transition checkpoint "," http://amigo.geneontology.org/amigo/term/GO:0044818"," CDK1"
0.117028886250076,1,43,48.1945031712474,"Positive regulation of mitotic nuclear division "," http://amigo.geneontology.org/amigo/term/GO:0045840"," ESPL1"
0.117910265926607,1,44,47.099173553719,"Positive regulation of protein import "," http://amigo.geneontology.org/amigo/term/GO:1904591"," CDK1"
0.118039594709876,2,479,8.65287530840767,"Regulation of mitotic cell cycle phase transition "," http://amigo.geneontology.org/amigo/term/GO:1901990"," ESPL1  CDK1"
0.11988080887587,2,531,7.8055127546653,"Nuclear division "," http://amigo.geneontology.org/amigo/term/GO:0000280"," ESPL1  CDK1"
0.11988080887587,1,66,31.3994490358127,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest "," http://amigo.geneontology.org/amigo/term/GO:0006977"," CDK1"
0.11988080887587,1,57,36.3572567783094,"Sister chromatid cohesion "," http://amigo.geneontology.org/amigo/term/GO:0007062"," ESPL1"
0.11988080887587,1,48,43.1742424242424,"Mitotic chromosome condensation "," http://amigo.geneontology.org/amigo/term/GO:0007076"," CDK1"
0.11988080887587,1,53,39.1012006861064,"Mitotic nuclear membrane reassembly "," http://amigo.geneontology.org/amigo/term/GO:0007084"," CDK1"
0.11988080887587,1,61,33.973174366617,"Metaphase/anaphase transition of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0007091"," ESPL1"
0.11988080887587,1,63,32.8946608946609,"Regulation of mitotic sister chromatid separation "," http://amigo.geneontology.org/amigo/term/GO:0010965"," ESPL1"
0.11988080887587,1,50,41.4472727272727,"Response to amine "," http://amigo.geneontology.org/amigo/term/GO:0014075"," CDK1"
0.11988080887587,1,65,31.8825174825175,"Striated muscle cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0014855"," CDK1"
0.11988080887587,1,59,35.1248073959938,"Regulation of mitotic metaphase/anaphase transition "," http://amigo.geneontology.org/amigo/term/GO:0030071"," ESPL1"
0.11988080887587,1,56,37.0064935064935,"Nuclear membrane reassembly "," http://amigo.geneontology.org/amigo/term/GO:0031468"," CDK1"
0.11988080887587,1,62,33.425219941349,"Regulation of protein import into nucleus "," http://amigo.geneontology.org/amigo/term/GO:0042306"," CDK1"
0.11988080887587,1,64,32.3806818181818,"Metaphase/anaphase transition of cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0044784"," ESPL1"
0.11988080887587,2,534,7.76166155941437,"Negative regulation of cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0045786"," ESPL1  CDK1"
0.11988080887587,1,47,44.0928433268859,"Positive regulation of organ growth "," http://amigo.geneontology.org/amigo/term/GO:0046622"," CDK1"
0.11988080887587,1,47,44.0928433268859,"Response to copper ion "," http://amigo.geneontology.org/amigo/term/GO:0046688"," CDK1"
0.11988080887587,1,66,31.3994490358127,"Positive regulation of nucleocytoplasmic transport "," http://amigo.geneontology.org/amigo/term/GO:0046824"," CDK1"
0.11988080887587,2,584,7.09713574097136,"Organelle fission "," http://amigo.geneontology.org/amigo/term/GO:0048285"," ESPL1  CDK1"
0.11988080887587,1,54,38.3771043771044,"Establishment of spindle localization "," http://amigo.geneontology.org/amigo/term/GO:0051293"," ESPL1"
0.11988080887587,1,65,31.8825174825175,"Mitotic sister chromatid separation "," http://amigo.geneontology.org/amigo/term/GO:0051306"," ESPL1"
0.11988080887587,1,59,35.1248073959938,"Spindle localization "," http://amigo.geneontology.org/amigo/term/GO:0051653"," ESPL1"
0.11988080887587,1,58,35.730407523511,"Positive regulation of nuclear division "," http://amigo.geneontology.org/amigo/term/GO:0051785"," ESPL1"
0.11988080887587,1,58,35.730407523511,"Regulation of cardiac muscle tissue growth "," http://amigo.geneontology.org/amigo/term/GO:0055021"," CDK1"
0.11988080887587,1,49,42.2931354359926,"Cardiac muscle cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0060038"," CDK1"
0.11988080887587,1,65,31.8825174825175,"Regulation of heart growth "," http://amigo.geneontology.org/amigo/term/GO:0060420"," CDK1"
0.11988080887587,3,1499,4.14749226757232,"Defense response to other organism "," http://amigo.geneontology.org/amigo/term/GO:0098542"," LCE3A  LCE3B  LCE3C"
0.11988080887587,1,53,39.1012006861064,"Mitotic nuclear membrane organization "," http://amigo.geneontology.org/amigo/term/GO:0101024"," CDK1"
0.11988080887587,2,585,7.08500388500389,"Regulation of cell cycle phase transition "," http://amigo.geneontology.org/amigo/term/GO:1901987"," ESPL1  CDK1"
0.11988080887587,1,62,33.425219941349,"Regulation of metaphase/anaphase transition of cell cycle "," http://amigo.geneontology.org/amigo/term/GO:1902099"," ESPL1"
0.11988080887587,1,65,31.8825174825175,"Regulation of protein import "," http://amigo.geneontology.org/amigo/term/GO:1904589"," CDK1"
0.120571998675225,1,75,27.6315151515152,"Mitotic cytokinesis "," http://amigo.geneontology.org/amigo/term/GO:0000281"," ESPL1"
0.120571998675225,1,79,26.2324510932106,"Response to activity "," http://amigo.geneontology.org/amigo/term/GO:0014823"," CDK1"
0.120571998675225,1,74,28.004914004914,"Chromosome condensation "," http://amigo.geneontology.org/amigo/term/GO:0030261"," CDK1"
0.120571998675225,1,79,26.2324510932106,"Animal organ regeneration "," http://amigo.geneontology.org/amigo/term/GO:0031100"," CDK1"
0.120571998675225,1,74,28.004914004914,"Mitotic G1 DNA damage checkpoint signaling "," http://amigo.geneontology.org/amigo/term/GO:0031571"," CDK1"
0.120571998675225,1,70,29.6051948051948,"Regulation of sister chromatid segregation "," http://amigo.geneontology.org/amigo/term/GO:0033045"," ESPL1"
0.120571998675225,2,615,6.73939393939394,"Mitotic cell cycle phase transition "," http://amigo.geneontology.org/amigo/term/GO:0044772"," ESPL1  CDK1"
0.120571998675225,1,75,27.6315151515152,"Mitotic G1/S transition checkpoint signaling "," http://amigo.geneontology.org/amigo/term/GO:0044819"," CDK1"
0.120571998675225,1,69,30.034255599473,"Homologous chromosome segregation "," http://amigo.geneontology.org/amigo/term/GO:0045143"," ESPL1"
0.120571998675225,1,74,28.004914004914,"Regulation of glial cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045685"," CDK1"
0.120571998675225,1,71,29.1882202304738,"Regulation of embryonic development "," http://amigo.geneontology.org/amigo/term/GO:0045995"," CDK1"
0.120571998675225,1,73,28.3885429638854,"Response to cadmium ion "," http://amigo.geneontology.org/amigo/term/GO:0046686"," CDK1"
0.120571998675225,1,78,26.5687645687646,"Response to axon injury "," http://amigo.geneontology.org/amigo/term/GO:0048678"," CDK1"
0.120571998675225,1,76,27.2679425837321,"Cardiac cell development "," http://amigo.geneontology.org/amigo/term/GO:0055006"," CDK1"
0.120571998675225,1,70,29.6051948051948,"Cardiac muscle cell development "," http://amigo.geneontology.org/amigo/term/GO:0055013"," CDK1"
0.120571998675225,1,79,26.2324510932106,"Cardiac muscle tissue growth "," http://amigo.geneontology.org/amigo/term/GO:0055017"," CDK1"
0.120571998675225,1,77,26.913813459268,"Nuclear membrane organization "," http://amigo.geneontology.org/amigo/term/GO:0071763"," CDK1"
0.120571998675225,1,70,29.6051948051948,"Regulation of chromosome separation "," http://amigo.geneontology.org/amigo/term/GO:1905818"," ESPL1"
0.12076615950035,2,652,6.35694366982711,"Regulation of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0007346"," ESPL1  CDK1"
0.12106105458303,2,659,6.28941923023865,"Cell division "," http://amigo.geneontology.org/amigo/term/GO:0051301"," ESPL1  CDK1"
0.12106105458303,1,81,25.5847362514029,"Regulation of transcription initiation from RNA polymerase II promoter "," http://amigo.geneontology.org/amigo/term/GO:0060260"," CDK1"
0.122311866524533,1,83,24.9682365826944,"Peripheral nervous system development "," http://amigo.geneontology.org/amigo/term/GO:0007422"," CDK1"
0.123320573082755,1,88,23.5495867768595,"Nuclear envelope organization "," http://amigo.geneontology.org/amigo/term/GO:0006998"," CDK1"
0.123320573082755,2,686,6.04187649085608,"Organelle localization "," http://amigo.geneontology.org/amigo/term/GO:0051640"," ESPL1  CDK1"
0.123320573082755,1,88,23.5495867768595,"Regulation of chromosome segregation "," http://amigo.geneontology.org/amigo/term/GO:0051983"," ESPL1"
0.123320573082755,1,87,23.8202716823406,"Heart growth "," http://amigo.geneontology.org/amigo/term/GO:0060419"," CDK1"
0.123320573082755,1,88,23.5495867768595,"Regulation of DNA-templated transcription, initiation "," http://amigo.geneontology.org/amigo/term/GO:2000142"," CDK1"
0.123320573082755,1,88,23.5495867768595,"Negative regulation of chromosome organization "," http://amigo.geneontology.org/amigo/term/GO:2001251"," ESPL1"
0.125225784941422,2,705,5.87904577691812,"Microtubule cytoskeleton organization "," http://amigo.geneontology.org/amigo/term/GO:0000226"," ESPL1  CDK1"
0.125225784941422,1,92,22.5256916996047,"Regulation of organ growth "," http://amigo.geneontology.org/amigo/term/GO:0046620"," CDK1"
0.125225784941422,1,92,22.5256916996047,"Cellular response to hydrogen peroxide "," http://amigo.geneontology.org/amigo/term/GO:0070301"," CDK1"
0.125225784941422,1,92,22.5256916996047,"Positive regulation of protein localization to nucleus "," http://amigo.geneontology.org/amigo/term/GO:1900182"," CDK1"
0.127779968001201,1,97,21.3645735707591,"Protein localization to chromosome "," http://amigo.geneontology.org/amigo/term/GO:0034502"," CDK1"
0.127779968001201,2,725,5.71686520376176,"Cell cycle phase transition "," http://amigo.geneontology.org/amigo/term/GO:0044770"," ESPL1  CDK1"
0.127779968001201,1,96,21.5871212121212,"Chromosome separation "," http://amigo.geneontology.org/amigo/term/GO:0051304"," ESPL1"
0.127779968001201,1,96,21.5871212121212,"Execution phase of apoptosis "," http://amigo.geneontology.org/amigo/term/GO:0097194"," CASP14"
0.127830737842743,1,98,21.1465677179963,"Membrane assembly "," http://amigo.geneontology.org/amigo/term/GO:0071709"," CDK1"
0.12815058178555,1,99,20.9329660238751,"Meiotic chromosome segregation "," http://amigo.geneontology.org/amigo/term/GO:0045132"," ESPL1"
0.131833132159957,1,105,19.7367965367965,"Anaphase-promoting complex-dependent catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0031145"," CDK1"
0.131833132159957,1,104,19.9265734265734,"Membrane biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0044091"," CDK1"
0.131833132159957,1,105,19.7367965367965,"Cardiac muscle cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0055007"," CDK1"
0.131833132159957,1,103,20.1200353045013,"Cytoskeleton-dependent cytokinesis "," http://amigo.geneontology.org/amigo/term/GO:0061640"," ESPL1"
0.133326400030802,1,107,19.3678844519966,"Ciliary basal body-plasma membrane docking "," http://amigo.geneontology.org/amigo/term/GO:0097711"," CDK1"
0.135769422884318,1,113,18.3395012067578,"Regulation of DNA replication "," http://amigo.geneontology.org/amigo/term/GO:0006275"," CDK1"
0.135769422884318,1,110,18.8396694214876,"Regulation of mitotic nuclear division "," http://amigo.geneontology.org/amigo/term/GO:0007088"," ESPL1"
0.135769422884318,1,113,18.3395012067578,"Mitochondrial ATP synthesis coupled electron transport "," http://amigo.geneontology.org/amigo/term/GO:0042775"," CDK1"
0.135769422884318,1,113,18.3395012067578,"Regulation of nucleocytoplasmic transport "," http://amigo.geneontology.org/amigo/term/GO:0046822"," CDK1"
0.135769422884318,1,112,18.5032467532468,"Organelle disassembly "," http://amigo.geneontology.org/amigo/term/GO:1903008"," CDK1"
0.136003075010259,1,114,18.1786283891547,"ATP synthesis coupled electron transport "," http://amigo.geneontology.org/amigo/term/GO:0042773"," CDK1"
0.136233038688537,1,115,18.0205533596838,"Negative regulation of G1/S transition of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:2000134"," CDK1"
0.136562329446943,3,1867,3.32998977455325,"Response to external biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0043207"," LCE3A  LCE3B  LCE3C"
0.136562329446943,3,1866,3.33177433498977,"Response to other organism "," http://amigo.geneontology.org/amigo/term/GO:0051707"," LCE3A  LCE3B  LCE3C"
0.136901538707903,1,118,17.5624036979969,"Negative regulation of cell cycle G1/S phase transition "," http://amigo.geneontology.org/amigo/term/GO:1902807"," CDK1"
0.139361138519564,1,121,17.1269722013524,"DNA damage response, signal transduction by p53 class mediator "," http://amigo.geneontology.org/amigo/term/GO:0030330"," CDK1"
0.139835741659506,3,1905,3.26356478167502,"Response to biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009607"," LCE3A  LCE3B  LCE3C"
0.139835741659506,1,123,16.8484848484848,"Negative regulation of G2/M transition of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0010972"," CDK1"
0.140130459432802,1,125,16.5789090909091,"Regulation of circadian rhythm "," http://amigo.geneontology.org/amigo/term/GO:0042752"," CDK1"
0.140130459432802,1,125,16.5789090909091,"Negative regulation of cell cycle G2/M phase transition "," http://amigo.geneontology.org/amigo/term/GO:1902750"," CDK1"
0.140315429704567,1,126,16.4473304473304,"Peptidyl-threonine phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0018107"," CDK1"
0.144796296883358,1,131,15.8195697432339,"Respiratory electron transport chain "," http://amigo.geneontology.org/amigo/term/GO:0022904"," CDK1"
0.146012799229635,1,133,15.5816814764183,"Mitotic DNA damage checkpoint signaling "," http://amigo.geneontology.org/amigo/term/GO:0044773"," CDK1"
0.147202770203656,1,136,15.2379679144385,"Centrosome cycle "," http://amigo.geneontology.org/amigo/term/GO:0007098"," CDK1"
0.147202770203656,1,141,14.6976144422953,"Meiosis I "," http://amigo.geneontology.org/amigo/term/GO:0007127"," ESPL1"
0.147202770203656,1,139,14.9090909090909,"Cell aging "," http://amigo.geneontology.org/amigo/term/GO:0007569"," CDK1"
0.147202770203656,2,889,4.66223540239288,"Regulation of cell cycle process "," http://amigo.geneontology.org/amigo/term/GO:0010564"," ESPL1  CDK1"
0.147202770203656,1,135,15.3508417508418,"Peptidyl-threonine modification "," http://amigo.geneontology.org/amigo/term/GO:0018210"," CDK1"
0.147202770203656,1,140,14.8025974025974,"Response to hydrogen peroxide "," http://amigo.geneontology.org/amigo/term/GO:0042542"," CDK1"
0.147202770203656,1,137,15.1267418712674,"Mitotic DNA integrity checkpoint signaling "," http://amigo.geneontology.org/amigo/term/GO:0044774"," CDK1"
0.147202770203656,1,142,14.5941101152369,"Response to ethanol "," http://amigo.geneontology.org/amigo/term/GO:0045471"," CDK1"
0.147202770203656,1,140,14.8025974025974,"Regulation of nuclear division "," http://amigo.geneontology.org/amigo/term/GO:0051783"," ESPL1"
0.147324912239683,1,143,14.4920534011443,"Cardiocyte differentiation "," http://amigo.geneontology.org/amigo/term/GO:0035051"," CDK1"
0.148659272983663,1,147,14.0977118119975,"Microtubule organizing center organization "," http://amigo.geneontology.org/amigo/term/GO:0031023"," CDK1"
0.148659272983663,1,146,14.1942714819427,"Meiosis I cell cycle process "," http://amigo.geneontology.org/amigo/term/GO:0061982"," ESPL1"
0.148659272983663,1,147,14.0977118119975,"Regulation of protein localization to nucleus "," http://amigo.geneontology.org/amigo/term/GO:1900180"," CDK1"
0.151684321784382,1,151,13.7242624924744,"Cellular response to reactive oxygen species "," http://amigo.geneontology.org/amigo/term/GO:0034614"," CDK1"
0.155695064867003,1,157,13.1997683844818,"Golgi organization "," http://amigo.geneontology.org/amigo/term/GO:0007030"," CDK1"
0.155695064867003,1,157,13.1997683844818,"Response to UV "," http://amigo.geneontology.org/amigo/term/GO:0009411"," IVL"
0.158655006645323,1,162,12.7923681257015,"Protein import into nucleus "," http://amigo.geneontology.org/amigo/term/GO:0006606"," CDK1"
0.158655006645323,1,162,12.7923681257015,"Organ growth "," http://amigo.geneontology.org/amigo/term/GO:0035265"," CDK1"
0.160693212962015,1,168,12.3354978354978,"Oxidative phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0006119"," CDK1"
0.160693212962015,2,978,4.2379624465514,"Microtubule-based process "," http://amigo.geneontology.org/amigo/term/GO:0007017"," ESPL1  CDK1"
0.160693212962015,1,169,12.2625067240452,"Regulation of generation of precursor metabolites and energy "," http://amigo.geneontology.org/amigo/term/GO:0043467"," CDK1"
0.160693212962015,1,167,12.4093630919978,"Muscle cell development "," http://amigo.geneontology.org/amigo/term/GO:0055001"," CDK1"
0.160693212962015,1,167,12.4093630919978,"Regulation of G1/S transition of mitotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:2000045"," CDK1"
0.160720908767256,1,170,12.1903743315508,"Organelle fusion "," http://amigo.geneontology.org/amigo/term/GO:0048284"," CDK1"
0.161652750688153,1,172,12.0486257928118,"DNA damage checkpoint signaling "," http://amigo.geneontology.org/amigo/term/GO:0000077"," CDK1"
0.162572872783174,1,174,11.9101358411703,"Positive regulation of developmental growth "," http://amigo.geneontology.org/amigo/term/GO:0048639"," CDK1"
0.164374556719216,1,177,11.7082691319979,"Viral entry into host cell "," http://amigo.geneontology.org/amigo/term/GO:0046718"," CDK1"
0.164378718621034,1,178,11.6424923391216,"Single fertilization "," http://amigo.geneontology.org/amigo/term/GO:0007338"," CDK1"
0.164385744596,1,180,11.5131313131313,"Cytokinesis "," http://amigo.geneontology.org/amigo/term/GO:0000910"," ESPL1"
0.164385744596,1,180,11.5131313131313,"DNA integrity checkpoint signaling "," http://amigo.geneontology.org/amigo/term/GO:0031570"," CDK1"
0.165052665433446,2,1021,4.05947822989939,"Mitotic cell cycle process "," http://amigo.geneontology.org/amigo/term/GO:1903047"," ESPL1  CDK1"
0.166991786956383,1,185,11.2019656019656,"Import into nucleus "," http://amigo.geneontology.org/amigo/term/GO:0051170"," CDK1"
0.168609587312493,1,192,10.7935606060606,"Nucleus organization "," http://amigo.geneontology.org/amigo/term/GO:0006997"," CDK1"
0.168609587312493,1,189,10.964886964887,"Mitotic cell cycle checkpoint signaling "," http://amigo.geneontology.org/amigo/term/GO:0007093"," CDK1"
